feature,mae_increase
IMPLANT_USED_Y_N,11650.072206446639
KEY_COMPLAINTS_CODE,7243.456606980632
AGE,7065.444752605977
HR_PULSE,5124.4413854305485
GENDER,2125.713943831021
PAST_MEDICAL_HISTORY_CODE,1184.4347300468326
MARITAL_STATUS,828.7517516029009
MODE_OF_ARRIVAL,131.1483926664856
STATE_AT_THE_TIME_OF_ARRIVAL,0.0
BP_LOW,-32.89141626182512
RR,-38.898032137743336
BP_HIGH,-173.23712125065552
HB,-355.95836036857264
BODY_HEIGHT,-400.9339526910301
CREATININE,-571.0043528032979
TYPE_OF_ADMSN,-583.6613992503555
BODY_WEIGHT,-601.4439949969045
UREA,-869.577867557263
